"steam_id","stat_ts","peak_players"
"2315040","1781874000000","517"
"4025700","1781874000000","15086"
"1974050","1781877600000","845"
"2315040","1781877600000","502"
"4025700","1781877600000","16220"
"1974050","1781881200000","805"
"2315040","1781881200000","441"
"4025700","1781881200000","16238"
"1974050","1781884800000","814"
"2315040","1781884800000","323"
"4025700","1781884800000","15140"
"1974050","1781888400000","748"
"2315040","1781888400000","211"
"4025700","1781888400000","13638"
"1974050","1781892000000","689"
"2315040","1781892000000","156"
"4025700","1781892000000","11951"
"1974050","1781895600000","658"
"2315040","1781895600000","117"
"4025700","1781895600000","10590"
"1974050","1781899200000","632"
"2315040","1781899200000","96"
"4025700","1781899200000","9443"
"1974050","1781902800000","584"
"2315040","1781902800000","80"
"4025700","1781902800000","9076"
"1974050","1781906400000","531"
"2315040","1781906400000","78"
"4025700","1781906400000","8612"
"1974050","1781910000000","518"
"2315040","1781910000000","92"
"4025700","1781910000000","8420"
"1974050","1781913600000","500"
"2315040","1781913600000","137"
"4025700","1781913600000","8272"
"1974050","1781917200000","486"
"2315040","1781917200000","216"
"4025700","1781917200000","8611"
"1974050","1781920800000","508"
"2315040","1781920800000","287"
"4025700","1781920800000","9214"
"1974050","1781924400000","541"
"2315040","1781924400000","334"
"4025700","1781924400000","9715"
"1974050","1781928000000","538"
"2315040","1781928000000","355"
"4025700","1781928000000","9845"
"1974050","1781931600000","592"
"2315040","1781931600000","374"
"4025700","1781931600000","10288"
"1974050","1781935200000","641"
"2315040","1781935200000","401"
"4025700","1781935200000","10458"
"1974050","1781938800000","686"
"2315040","1781938800000","420"
"4025700","1781938800000","10633"
"1974050","1781942400000","700"
"2315040","1781942400000","447"
"4025700","1781942400000","10577"
"1974050","1781946000000","743"
"2315040","1781946000000","451"
"4025700","1781946000000","10571"
"1974050","1781949600000","0"
"2315040","1781949600000","434"
"4025700","1781949600000","10867"
"1974050","1781953200000","780"
"2315040","1781953200000","452"
"4025700","1781953200000","11533"
"1974050","1781956800000","875"
"2315040","1781956800000","488"
"4025700","1781956800000","12619"
"1974050","1781960400000","899"
"2315040","1781960400000","546"
"4025700","1781960400000","13788"
"1974050","1781964000000","918"
"2315040","1781964000000","507"
"4025700","1781964000000","14744"
"1974050","1781967600000","868"
"2315040","1781967600000","447"
"4025700","1781967600000","14530"
"1974050","1781971200000","871"
"2315040","1781971200000","338"
"4025700","1781971200000","13492"
"1974050","1781974800000","794"
"2315040","1781974800000","242"
"4025700","1781974800000","11850"
"1974050","1781978400000","739"
"2315040","1781978400000","159"
"4025700","1781978400000","10417"
"1974050","1781982000000","727"
"2315040","1781982000000","123"
"4025700","1781982000000","9125"
"1974050","1781985600000","666"
"2315040","1781985600000","84"
"4025700","1781985600000","8284"
"1974050","1781989200000","563"
"2315040","1781989200000","69"
"4025700","1781989200000","7832"
"1974050","1781992800000","538"
"2315040","1781992800000","66"
"4025700","1781992800000","7571"
"1974050","1781996400000","534"
"2315040","1781996400000","76"
"4025700","1781996400000","7504"
"1974050","1782000000000","510"
"2315040","1782000000000","127"
"4025700","1782000000000","7559"
"1974050","1782003600000","513"
"2315040","1782003600000","211"
"4025700","1782003600000","8002"
"1974050","1782007200000","534"
"2315040","1782007200000","293"
"4025700","1782007200000","8679"
"1974050","1782010800000","563"
"2315040","1782010800000","325"
"4025700","1782010800000","9105"
"1974050","1782014400000","586"
"2315040","1782014400000","375"
"4025700","1782014400000","9365"
"1974050","1782018000000","614"
"2315040","1782018000000","407"
"4025700","1782018000000","9957"
"1974050","1782021600000","661"
"2315040","1782021600000","435"
"4025700","1782021600000","10101"
"1974050","1782025200000","724"
"2315040","1782025200000","445"
"4025700","1782025200000","10356"
"1974050","1782028800000","762"
"2315040","1782028800000","462"
"4025700","1782028800000","10476"
"1974050","1782032400000","803"
"2315040","1782032400000","462"
"4025700","1782032400000","10563"
"1974050","1782036000000","851"
"2315040","1782036000000","426"
"4025700","1782036000000","10806"
"1974050","1782039600000","872"
"2315040","1782039600000","459"
"4025700","1782039600000","11460"
"1974050","1782043200000","925"
"2315040","1782043200000","525"
"4025700","1782043200000","12388"
"1974050","1782046800000","948"
"2315040","1782046800000","523"
"4025700","1782046800000","13299"
"1974050","1782050400000","913"
"2315040","1782050400000","492"
"4025700","1782050400000","13706"
"1974050","1782054000000","894"
"2315040","1782054000000","411"
"4025700","1782054000000","13387"
"1974050","1782057600000","869"
"2315040","1782057600000","274"
"4025700","1782057600000","12162"
"1974050","1782061200000","817"
"2315040","1782061200000","224"
"4025700","1782061200000","10607"
"1974050","1782064800000","745"
"2315040","1782064800000","142"
"4025700","1782064800000","9409"
"1974050","1782068400000","712"
"2315040","1782068400000","103"
"4025700","1782068400000","8397"
"1974050","1782072000000","656"
"2315040","1782072000000","74"
"4025700","1782072000000","7720"
"1974050","1782075600000","586"
"2315040","1782075600000","53"
"4025700","1782075600000","7364"
"1974050","1782079200000","495"
"2315040","1782079200000","60"
"4025700","1782079200000","7061"
"1974050","1782082800000","469"
"2315040","1782082800000","81"
"4025700","1782082800000","7005"
"1974050","1782086400000","425"
"2315040","1782086400000","127"
"4025700","1782086400000","7042"
"1974050","1782090000000","444"
"2315040","1782090000000","205"
"4025700","1782090000000","7324"
"1974050","1782093600000","413"
"2315040","1782093600000","254"
"4025700","1782093600000","7580"
"1974050","1782097200000","402"
"2315040","1782097200000","258"
"4025700","1782097200000","7740"
"1974050","1782100800000","396"
"2315040","1782100800000","309"
"4025700","1782100800000","7877"
"1974050","1782104400000","414"
"2315040","1782104400000","333"
"4025700","1782104400000","7914"
"1974050","1782108000000","462"
"2315040","1782108000000","332"
"4025700","1782108000000","7980"
"1974050","1782111600000","488"
"2315040","1782111600000","362"
"4025700","1782111600000","8047"
"1974050","1782115200000","556"
"2315040","1782115200000","366"
"4025700","1782115200000","8302"
"1974050","1782118800000","579"
"2315040","1782118800000","356"
"4025700","1782118800000","8532"
"1974050","1782122400000","618"
"2315040","1782122400000","375"
"4025700","1782122400000","9209"
"1974050","1782126000000","719"
"2315040","1782126000000","445"
"4025700","1782126000000","10735"
"1974050","1782129600000","729"
"2315040","1782129600000","519"
"4025700","1782129600000","12334"
"1974050","1782133200000","742"
"2315040","1782133200000","567"
"4025700","1782133200000","13591"
"1974050","1782136800000","779"
"2315040","1782136800000","562"
"4025700","1782136800000","14013"
"1974050","1782140400000","761"
"2315040","1782140400000","447"
"4025700","1782140400000","13529"
"1974050","1782144000000","758"
"2315040","1782144000000","274"
"4025700","1782144000000","12020"
"1974050","1782147600000","751"
"2315040","1782147600000","184"
"4025700","1782147600000","10416"
"1974050","1782151200000","697"
"2315040","1782151200000","120"
"4025700","1782151200000","9097"
"1974050","1782154800000","705"
"2315040","1782154800000","78"
"4025700","1782154800000","8146"
"1974050","1782158400000","623"
"2315040","1782158400000","65"
"4025700","1782158400000","7445"
"1974050","1782162000000","562"
"2315040","1782162000000","52"
"4025700","1782162000000","7166"
"1974050","1782165600000","452"
"2315040","1782165600000","64"
"4025700","1782165600000","6984"
"1974050","1782169200000","435"
"2315040","1782169200000","76"
"4025700","1782169200000","7301"
"1974050","1782172800000","427"
"2315040","1782172800000","130"
"4025700","1782172800000","7380"
"1974050","1782176400000","409"
"2315040","1782176400000","173"
"4025700","1782176400000","7648"
"1974050","1782180000000","439"
"2315040","1782180000000","230"
"4025700","1782180000000","7884"
"1974050","1782183600000","441"
"2315040","1782183600000","247"
"4025700","1782183600000","7822"
"1974050","1782187200000","409"
"2315040","1782187200000","289"
"4025700","1782187200000","7668"
"1974050","1782190800000","417"
"2315040","1782190800000","295"
"4025700","1782190800000","7741"
"1974050","1782194400000","456"
"2315040","1782194400000","326"
"4025700","1782194400000","7797"
"1974050","1782198000000","476"
"2315040","1782198000000","360"
"4025700","1782198000000","7874"
"1974050","1782201600000","514"
"2315040","1782201600000","365"
"4025700","1782201600000","8095"
"1974050","1782205200000","572"
"2315040","1782205200000","376"
"4025700","1782205200000","8254"
"1974050","1782208800000","619"
"2315040","1782208800000","390"
"4025700","1782208800000","8786"
"1974050","1782212400000","667"
"2315040","1782212400000","461"
"4025700","1782212400000","10108"
"1974050","1782216000000","724"
"2315040","1782216000000","513"
"4025700","1782216000000","11240"
"1974050","1782219600000","732"
"2315040","1782219600000","557"
"4025700","1782219600000","12414"
"1974050","1782223200000","764"
"2315040","1782223200000","558"
"4025700","1782223200000","13015"
"1974050","1782226800000","716"
"2315040","1782226800000","452"
"4025700","1782226800000","12646"
"1974050","1782230400000","709"
"2315040","1782230400000","314"
"4025700","1782230400000","11181"
"1974050","1782234000000","641"
"2315040","1782234000000","192"
"4025700","1782234000000","9726"
"1974050","1782237600000","649"
"2315040","1782237600000","132"
"4025700","1782237600000","8468"
"1974050","1782241200000","627"
"2315040","1782241200000","104"
"4025700","1782241200000","7679"
"1974050","1782244800000","575"
"2315040","1782244800000","80"
"4025700","1782244800000","6994"
"1974050","1782248400000","534"
"2315040","1782248400000","70"
"4025700","1782248400000","6818"
"1974050","1782252000000","431"
"2315040","1782252000000","68"
"4025700","1782252000000","0"
"1974050","1782255600000","425"
"2315040","1782255600000","76"
"4025700","1782255600000","6648"
"1974050","1782259200000","408"
"2315040","1782259200000","111"
"4025700","1782259200000","6684"
"1974050","1782262800000","405"
"2315040","1782262800000","178"
"4025700","1782262800000","7030"
"1974050","1782266400000","383"
"2315040","1782266400000","111"
"4025700","1782266400000","0"
"1974050","1782270000000","431"
"2315040","1782270000000","271"
"4025700","1782270000000","7306"
"1974050","1782273600000","370"
"2315040","1782273600000","301"
"4025700","1782273600000","7360"
"1974050","1782277200000","411"
"2315040","1782277200000","294"
"4025700","1782277200000","7460"
"1974050","1782280800000","434"
"2315040","1782280800000","334"
"4025700","1782280800000","7561"
"1974050","1782284400000","462"
"2315040","1782284400000","350"
"4025700","1782284400000","7597"
"1974050","1782288000000","484"
"2315040","1782288000000","356"
"4025700","1782288000000","7580"
"1974050","1782291600000","473"
"2315040","1782291600000","341"
"4025700","1782291600000","7803"
"1974050","1782295200000","547"
"2315040","1782295200000","350"
"4025700","1782295200000","8469"
"1974050","1782298800000","612"
"2315040","1782298800000","419"
"4025700","1782298800000","9667"
"1974050","1782302400000","701"
"2315040","1782302400000","468"
"4025700","1782302400000","10911"
"1974050","1782306000000","772"
"2315040","1782306000000","502"
"4025700","1782306000000","12075"
"1974050","1782309600000","807"
"2315040","1782309600000","506"
"4025700","1782309600000","12833"
"1974050","1782313200000","762"
"2315040","1782313200000","410"
"4025700","1782313200000","12329"
"1974050","1782316800000","716"
"2315040","1782316800000","274"
"4025700","1782316800000","11042"
"1974050","1782320400000","699"
"2315040","1782320400000","189"
"4025700","1782320400000","9661"
"1974050","1782324000000","663"
"2315040","1782324000000","131"
"4025700","1782324000000","8371"
"1974050","1782327600000","606"
"2315040","1782327600000","94"
"4025700","1782327600000","7548"
"1974050","1782331200000","556"
"2315040","1782331200000","72"
"4025700","1782331200000","6918"
"1974050","1782334800000","482"
"2315040","1782334800000","67"
"4025700","1782334800000","6709"
"1974050","1782338400000","420"
"2315040","1782338400000","58"
"4025700","1782338400000","6304"
"1974050","1782342000000","387"
"2315040","1782342000000","66"
"4025700","1782342000000","6449"
"1974050","1782345600000","363"
"2315040","1782345600000","106"
"4025700","1782345600000","6624"
"1974050","1782349200000","385"
"2315040","1782349200000","163"
"4025700","1782349200000","6918"
"1974050","1782352800000","381"
"2315040","1782352800000","239"
"4025700","1782352800000","7270"
"1974050","1782356400000","371"
"2315040","1782356400000","248"
"4025700","1782356400000","7395"
"1974050","1782360000000","376"
"2315040","1782360000000","296"
"4025700","1782360000000","7428"
"1974050","1782363600000","381"
